C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.9,40,1,7.466666666666667,0.13392857142857142,33,120,0.275,202.49810058483854,1.0
0.003,0.9,42,1,7.466666666666667,0.13392857142857142,31,120,0.25833333333333336,212.49809888517484,1.0
0.003,0.9,44,1,7.466666666666667,0.13392857142857142,30,120,0.25,222.4980997350067,1.0
0.003,0.9,48,1,7.466666666666667,0.13392857142857142,28,120,0.23333333333333334,242.49808553012554,1.0
0.003,0.9,52,1,7.466666666666667,0.13392857142857142,27,120,0.225,262.49807217507623,1.0
0.003,0.9,56,1,7.466666666666667,0.13392857142857142,27,120,0.225,282.49807217507623,1.0
0.003,0.9,60,1,7.466666666666667,0.13392857142857142,25,120,0.20833333333333334,302.49805609416217,1.0
0.003,0.93,1,49,7.466666666666667,6.5625,89,120,0.7416666666666667,12.492251958930865,1.0
0.003,0.93,2,26,7.466666666666667,3.482142857142857,83,120,0.6916666666666667,32.48607045901008,1.0
0.003,0.93,3,20,7.466666666666667,2.6785714285714284,78,120,0.65,42.48766922898358,1.0
0.003,0.93,4,14,7.466666666666667,1.875,72,120,0.6,47.48766922898358,1.0
0.003,0.93,5,14,7.466666666666667,1.875,65,120,0.5416666666666666,52.48930862499401,1.0
0.003,0.93,6,11,7.466666666666667,1.4732142857142856,61,120,0.5083333333333333,62.492251958930865,1.0
0.003,0.93,8,7,7.466666666666667,0.9375,57,120,0.475,77.49688929296099,1.0
0.003,0.93,10,6,7.466666666666667,0.8035714285714286,50,120,0.4166666666666667,72.4894358330057,1.0
0.003,0.93,12,6,7.466666666666667,0.8035714285714286,47,120,0.39166666666666666,72.49820415396243,1.0
0.003,0.93,16,4,7.466666666666667,0.5357142857142857,37,120,0.30833333333333335,82.49814974190667,1.0
0.003,0.93,20,4,7.466666666666667,0.5357142857142857,34,120,0.2833333333333333,102.49811412091367,1.0
0.003,0.93,22,3,7.466666666666667,0.4017857142857143,33,120,0.275,112.49810058483854,1.0
0.003,0.93,24,3,7.466666666666667,0.4017857142857143,33,120,0.275,122.49810058483854,1.0
0.003,0.93,26,2,7.466666666666667,0.26785714285714285,33,120,0.275,132.49810058483854,1.0
0.003,0.93,28,2,7.466666666666667,0.26785714285714285,32,120,0.26666666666666666,142.4980997350067,1.0
0.003,0.93,30,2,7.466666666666667,0.26785714285714285,31,120,0.25833333333333336,152.49809888517484,1.0
0.003,0.93,32,1,7.466666666666667,0.13392857142857142,31,120,0.25833333333333336,162.49809888517484,1.0
0.003,0.93,36,1,7.466666666666667,0.13392857142857142,29,120,0.24166666666666667,182.49808900803328,1.0
0.003,0.93,38,1,7.466666666666667,0.13392857142857142,29,120,0.24166666666666667,192.49809888517484,1.0
0.003,0.93,40,1,7.466666666666667,0.13392857142857142,27,120,0.225,202.49807217507623,1.0
0.003,0.93,42,1,7.466666666666667,0.13392857142857142,27,120,0.225,212.49807217507623,1.0
0.003,0.93,44,1,7.466666666666667,0.13392857142857142,26,120,0.21666666666666667,222.4980641346192,1.0
0.003,0.93,48,1,7.466666666666667,0.13392857142857142,23,120,0.19166666666666668,242.49805609416217,1.0
0.003,0.93,52,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,262.4975029961206,1.0
0.003,0.93,56,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,282.4975029961206,1.0
0.003,0.93,60,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,302.4975029961206,1.0
0.003,0.95,1,47,7.466666666666667,6.294642857142857,85,120,0.7083333333333334,17.49229376204312,1.0
0.003,0.95,2,24,7.466666666666667,3.2142857142857144,77,120,0.6416666666666667,37.498203119961545,1.0
0.003,0.95,3,19,7.466666666666667,2.544642857142857,69,120,0.575,52.49688929296099,1.0
0.003,0.95,4,14,7.466666666666667,1.875,63,120,0.525,52.4871503750328,1.0
0.003,0.95,5,13,7.466666666666667,1.7410714285714286,59,120,0.49166666666666664,57.4871503750328,1.0
0.003,0.95,6,10,7.466666666666667,1.3392857142857142,53,120,0.44166666666666665,57.48666995798703,1.0
0.003,0.95,8,5,7.466666666666667,0.6696428571428571,48,120,0.4,69.99537627352402,1.0
0.003,0.95,10,5,7.466666666666667,0.6696428571428571,43,120,0.35833333333333334,62.49820415396243,1.0
0.003,0.95,12,5,7.466666666666667,0.6696428571428571,38,120,0.31666666666666665,67.49827698001172,1.0
0.003,0.95,16,4,7.466666666666667,0.5357142857142857,32,120,0.26666666666666666,82.49829261493869,1.0
0.003,0.95,20,4,7.466666666666667,0.5357142857142857,29,120,0.24166666666666667,102.49814974190667,1.0
0.003,0.95,22,3,7.466666666666667,0.4017857142857143,29,120,0.24166666666666667,112.49814974190667,1.0
0.003,0.95,24,2,7.466666666666667,0.26785714285714285,26,120,0.21666666666666667,122.49809973500669,1.0
0.003,0.95,26,2,7.466666666666667,0.26785714285714285,26,120,0.21666666666666667,132.4980997350067,1.0
0.003,0.95,28,2,7.466666666666667,0.26785714285714285,26,120,0.21666666666666667,142.4980997350067,1.0
0.003,0.95,30,2,7.466666666666667,0.26785714285714285,26,120,0.21666666666666667,152.4980997350067,1.0
0.003,0.95,32,1,7.466666666666667,0.13392857142857142,25,120,0.20833333333333334,162.49809888517484,1.0
0.003,0.95,36,1,7.466666666666667,0.13392857142857142,25,120,0.20833333333333334,182.49809888517484,1.0
